team,season,name,situation,gamesPlayed,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
COL,2012,Colorado Avalanche,5on5,48,0.49,0.49,0.49,140324.0,1089.05,84.2,71.92,257.11,35.21,608.65,468.92,81.54,83.32,80.68,1118.0,408.0,548.0,2074.0,79.0,86.0,18.0,298.0,28.0,436.0,599.0,1039.0,1447.0,195.0,457.0,1095.0,1144.0,336.0,265.0,1194.0,260.0,72.0,32.88,30.54,20.78,31.0,24.0,24.0,2025.89,1526.0,1498.97,160.0,14.79,18.43,18.59,80.4,79.6,78.49,1134.48,88.33,76.97,266.36,36.55,633.05,481.75,85.92,90.06,87.61,1131.0,452.0,591.0,2174.0,97.0,81.0,15.0,264.0,39.0,496.0,606.0,1034.0,1486.0,161.0,389.0,1043.0,812.0,345.0,253.0,1239.0,286.0,58.0,36.43,34.61,17.3,40.0,40.0,17.0,2241.19,1583.0,1623.56,143.0,15.83,18.35,18.54,85.63,87.17,86.02
DAL,2012,Dallas Stars,5on5,48,0.47,0.49,0.47,136661.0,1019.83,81.78,67.57,242.13,33.54,559.36,424.64,79.09,81.81,79.14,973.0,436.0,583.0,1992.0,92.0,78.0,18.0,221.0,38.0,461.0,519.0,881.0,1317.0,191.0,453.0,1042.0,1079.0,266.0,341.0,1076.0,269.0,64.0,30.16,34.41,17.21,36.0,34.0,22.0,1989.15,1409.0,1409.78,179.0,13.95,15.63,15.68,80.05,80.1,78.99,1140.88,93.11,76.46,266.6,36.25,635.19,471.39,89.48,93.94,90.22,1114.0,465.0,505.0,2084.0,92.0,91.0,19.0,283.0,37.0,525.0,551.0,1022.0,1487.0,186.0,439.0,1068.0,1089.0,256.0,277.0,1218.0,274.0,87.0,34.72,34.11,24.29,38.0,31.0,23.0,2092.81,1579.0,1586.13,154.0,15.75,18.24,18.71,90.15,90.92,89.37
CGY,2012,Calgary Flames,5on5,48,0.48,0.47,0.47,139996.0,1042.14,85.08,69.07,245.02,34.85,582.09,439.91,82.72,84.43,82.08,1045.0,411.0,504.0,1960.0,83.0,63.0,15.0,256.0,26.0,457.0,571.0,962.0,1373.0,166.0,396.0,1115.0,858.0,282.0,340.0,1092.0,299.0,65.0,31.63,36.54,16.91,25.0,40.0,18.0,1937.97,1456.0,1445.15,197.0,14.2,13.74,14.01,85.27,84.63,83.59,1160.43,90.6,75.96,277.65,37.19,645.36,482.23,87.82,91.73,88.93,1138.0,471.0,568.0,2177.0,121.0,85.0,28.0,291.0,18.0,523.0,572.0,1017.0,1488.0,168.0,404.0,1237.0,820.0,276.0,318.0,1250.0,278.0,81.0,33.78,33.7,23.12,38.0,48.0,35.0,2207.5,1609.0,1625.07,221.0,15.62,17.44,19.11,87.12,88.03,86.68
CHI,2012,Chicago Blackhawks,5on5,48,0.53,0.54,0.55,142156.0,1143.73,87.92,76.86,266.87,36.56,635.27,473.5,85.79,89.67,87.48,1179.0,398.0,540.0,2117.0,107.0,66.0,20.0,284.0,34.0,470.0,616.0,1072.0,1470.0,162.0,365.0,1095.0,783.0,363.0,281.0,1228.0,290.0,59.0,35.49,35.11,17.33,47.0,33.0,27.0,2179.41,1577.0,1620.03,196.0,15.82,14.27,14.27,89.47,91.06,89.97,936.47,77.02,63.13,217.58,30.27,516.04,386.97,74.64,76.29,73.94,966.0,325.0,503.0,1794.0,68.0,63.0,16.0,210.0,26.0,391.0,533.0,898.0,1223.0,156.0,368.0,1072.0,1245.0,266.0,271.0,979.0,247.0,65.0,28.73,29.86,18.42,24.0,24.0,20.0,1754.34,1291.0,1265.6,190.0,13.09,14.68,14.97,75.14,74.37,73.5
BOS,2012,Boston Bruins,5on5,48,0.53,0.54,0.54,142306.0,1253.82,98.18,79.69,300.67,41.68,694.38,538.4,95.49,99.46,96.74,1260.0,493.0,641.0,2394.0,93.0,79.0,22.0,300.0,41.0,572.0,668.0,1167.0,1660.0,181.0,456.0,1233.0,1088.0,224.0,329.0,1346.0,332.0,75.0,38.46,39.3,20.42,33.0,35.0,25.0,2436.05,1753.0,1780.81,153.0,16.34,17.0,17.19,97.34,98.57,97.29,1086.83,87.21,70.11,257.58,35.26,590.64,451.2,85.06,86.52,84.39,1088.0,404.0,519.0,2011.0,74.0,59.0,16.0,299.0,35.0,449.0,576.0,1014.0,1418.0,141.0,376.0,970.0,1168.0,267.0,344.0,1133.0,281.0,78.0,32.21,34.08,20.91,29.0,23.0,22.0,1976.45,1492.0,1473.54,208.0,14.45,12.57,14.0,87.67,86.94,85.79
PIT,2012,Pittsburgh Penguins,5on5,48,0.51,0.49,0.5,137475.0,1100.98,87.64,72.84,258.13,35.27,612.42,460.69,85.51,89.42,87.23,1108.0,419.0,514.0,2041.0,107.0,80.0,22.0,214.0,56.0,443.0,627.0,1001.0,1420.0,178.0,424.0,1107.0,1129.0,182.0,223.0,1161.0,313.0,53.0,35.87,36.99,14.78,45.0,41.0,21.0,2087.36,1527.0,1558.76,132.0,15.01,15.33,15.79,86.86,88.42,87.47,1102.19,82.78,72.07,261.0,35.75,617.54,468.87,80.54,82.01,79.78,1111.0,427.0,587.0,2125.0,76.0,72.0,17.0,243.0,54.0,490.0,603.0,1035.0,1462.0,184.0,436.0,1044.0,1023.0,205.0,199.0,1211.0,268.0,59.0,33.99,33.04,15.75,29.0,29.0,18.0,2093.37,1538.0,1517.28,119.0,14.78,13.9,14.52,83.04,82.22,81.06
VAN,2012,Vancouver Canucks,5on5,48,0.5,0.51,0.5,140158.0,1042.32,81.11,69.01,248.91,35.26,583.4,441.31,78.8,82.01,79.67,1034.0,425.0,536.0,1995.0,84.0,58.0,19.0,270.0,30.0,485.0,533.0,950.0,1375.0,186.0,456.0,1017.0,954.0,259.0,282.0,1136.0,260.0,63.0,31.85,30.03,19.23,35.0,23.0,26.0,2012.37,1459.0,1475.13,196.0,14.21,13.1,16.23,79.1,79.71,78.5,1036.31,81.49,69.07,242.85,34.19,575.31,437.1,79.11,80.59,78.23,1074.0,366.0,442.0,1882.0,80.0,68.0,14.0,263.0,36.0,455.0,539.0,994.0,1360.0,184.0,446.0,1126.0,975.0,296.0,254.0,1117.0,267.0,56.0,33.37,32.91,15.21,39.0,22.0,19.0,1858.31,1440.0,1421.35,159.0,14.2,14.3,14.99,80.7,79.82,78.75
DET,2012,Detroit Red Wings,5on5,48,0.52,0.54,0.53,138739.0,1118.39,83.85,74.0,265.24,36.32,632.26,471.33,81.5,84.51,82.14,1113.0,450.0,506.0,2069.0,75.0,56.0,12.0,294.0,56.0,481.0,602.0,1038.0,1488.0,161.0,365.0,991.0,777.0,233.0,276.0,1232.0,282.0,49.0,35.49,33.96,14.41,29.0,32.0,14.0,2084.73,1563.0,1571.69,156.0,15.21,12.56,14.14,84.93,85.39,83.94,984.88,76.56,64.79,231.32,32.69,543.21,418.43,74.5,76.77,74.69,1025.0,342.0,425.0,1792.0,67.0,75.0,15.0,242.0,39.0,411.0,533.0,958.0,1300.0,177.0,408.0,1036.0,960.0,232.0,277.0,1069.0,235.0,63.0,30.55,28.33,17.69,21.0,32.0,14.0,1787.69,1367.0,1364.38,184.0,13.34,14.93,15.84,74.05,74.23,73.41
BUF,2012,Buffalo Sabres,5on5,48,0.44,0.45,0.45,138808.0,965.94,72.24,62.8,228.91,31.13,545.78,411.14,70.35,71.87,69.97,1004.0,348.0,461.0,1813.0,81.0,57.0,18.0,224.0,29.0,422.0,539.0,923.0,1271.0,194.0,464.0,953.0,941.0,247.0,295.0,1071.0,224.0,57.0,30.9,25.95,15.39,31.0,34.0,16.0,1794.85,1352.0,1341.85,188.0,12.87,12.45,12.8,72.31,71.87,71.03,1181.79,92.17,77.93,280.33,38.81,671.81,504.94,89.99,92.96,90.76,1201.0,465.0,541.0,2207.0,89.0,72.0,15.0,256.0,46.0,506.0,697.0,1112.0,1577.0,173.0,420.0,1137.0,862.0,252.0,274.0,1297.0,312.0,57.0,38.61,37.53,16.04,35.0,33.0,21.0,2224.43,1666.0,1677.02,148.0,15.97,14.84,15.3,92.84,93.59,92.42
FLA,2012,Florida Panthers,5on5,48,0.47,0.49,0.48,142745.0,1097.92,79.91,69.29,263.91,36.55,611.17,467.18,77.41,78.62,76.17,1113.0,415.0,521.0,2049.0,66.0,79.0,16.0,292.0,35.0,460.0,596.0,1047.0,1462.0,168.0,403.0,1036.0,1030.0,255.0,239.0,1239.0,229.0,60.0,35.73,27.64,16.53,28.0,23.0,15.0,1983.29,1528.0,1490.72,149.0,14.19,16.63,17.6,76.5,75.28,74.26,1163.77,91.93,77.21,272.67,38.45,649.03,495.71,89.89,93.64,91.57,1200.0,425.0,493.0,2118.0,116.0,93.0,14.0,229.0,32.0,547.0,608.0,1084.0,1509.0,159.0,379.0,1085.0,1241.0,249.0,257.0,1243.0,319.0,63.0,37.23,38.14,16.56,47.0,51.0,18.0,2182.79,1625.0,1664.93,142.0,15.85,17.37,17.37,90.41,92.08,91.1
NYI,2012,New York Islanders,5on5,48,0.52,0.5,0.51,144077.0,1131.95,92.55,75.1,267.48,38.32,633.53,484.03,90.51,93.24,91.19,1173.0,418.0,581.0,2172.0,94.0,61.0,4.0,292.0,57.0,456.0,631.0,1079.0,1497.0,155.0,367.0,1065.0,968.0,325.0,374.0,1205.0,321.0,65.0,36.86,38.19,17.51,41.0,42.0,11.0,2182.28,1591.0,1602.16,205.0,15.4,12.22,12.79,95.16,95.81,94.56,1097.15,85.96,72.76,255.51,35.06,617.29,472.42,83.55,85.95,83.56,1059.0,480.0,635.0,2174.0,96.0,65.0,20.0,239.0,28.0,411.0,700.0,963.0,1443.0,160.0,375.0,1060.0,1006.0,246.0,352.0,1195.0,279.0,65.0,34.64,33.0,18.33,36.0,42.0,18.0,2163.98,1539.0,1534.74,195.0,14.92,14.98,15.48,85.4,85.43,84.54
LAK,2012,Los Angeles Kings,5on5,48,0.55,0.56,0.56,139577.0,1176.06,90.02,75.68,279.61,37.78,660.28,496.64,87.54,90.96,88.45,1134.0,506.0,536.0,2176.0,86.0,73.0,16.0,291.0,35.0,557.0,598.0,1048.0,1554.0,163.0,387.0,1118.0,1321.0,176.0,335.0,1301.0,263.0,76.0,37.64,31.53,20.85,35.0,33.0,18.0,2196.61,1640.0,1654.62,238.0,15.56,15.96,16.18,89.41,90.18,88.89,941.96,74.3,61.7,222.42,30.34,523.32,395.92,72.36,74.17,72.23,929.0,379.0,381.0,1689.0,79.0,64.0,12.0,230.0,52.0,428.0,455.0,850.0,1229.0,177.0,424.0,1019.0,1317.0,215.0,345.0,1019.0,234.0,55.0,30.76,28.61,14.93,34.0,30.0,15.0,1678.65,1308.0,1302.05,234.0,12.72,12.69,12.69,74.33,74.02,72.91
OTT,2012,Ottawa Senators,5on5,48,0.53,0.54,0.53,137188.0,1224.63,89.31,77.63,300.09,39.42,682.43,514.12,86.9,89.82,87.4,1227.0,476.0,634.0,2337.0,74.0,87.0,17.0,280.0,34.0,572.0,656.0,1153.0,1629.0,190.0,455.0,1073.0,1152.0,251.0,318.0,1376.0,255.0,72.0,38.1,31.19,20.03,34.0,23.0,17.0,2345.29,1703.0,1706.19,208.0,15.94,17.75,17.82,87.44,88.13,86.75,1084.43,79.7,69.29,264.41,36.13,614.79,460.68,77.79,79.73,77.83,1126.0,399.0,492.0,2017.0,73.0,68.0,14.0,249.0,35.0,504.0,596.0,1053.0,1452.0,183.0,446.0,1052.0,1208.0,267.0,315.0,1212.0,252.0,61.0,33.75,29.95,15.99,32.0,20.0,21.0,2009.62,1525.0,1525.32,206.0,14.25,11.96,12.31,81.64,81.63,80.54
